delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.duration,polygon_3.started,polygon_3.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.4,400,unexp,1,1,13,1,119.91055969999798,120.91024990000005,120.91024990000005,120.91024990000005,space,1.0807625999987067,None,122.40972129999864,122.70977649999986,122.70977649999986,122.70977649999986,122.70977649999986,200,1,[2.2650517000001855],[2.2650549999998475],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,1,2,14,4,124.97551939999903,125.97514740000042,125.97514740000042,125.97514740000042,space,1.0343178000039188,None,127.4413667000008,127.74117189999743,127.74117189999743,127.74117189999743,127.74117189999743,200,1,[2.6649290999994264],[2.6649345999976504],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,400,unexp,1,3,15,0,130.40696219999882,131.40674500000023,131.40674500000023,131.40674500000023,space,0.8515557000027911,None,132.38971719999972,132.68960329999754,132.68960329999754,132.68960329999754,132.68960329999754,100,1,[2.064434199997777],[2.0644400999990467],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,1,4,16,9,134.75555320000058,135.75523859999885,135.75523859999885,135.75523859999885,space,0.8213013000022329,None,136.70506679999744,137.00502039999992,137.00502039999992,137.00502039999992,137.00502039999992,50,1,[3.664600699998118],[3.6646049000009953],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,1,5,17,7,140.67002069999944,141.6698499999984,141.6698499999984,141.6698499999984,space,2.168470700002217,None,144.26896660000057,144.5687872999988,144.5687872999988,144.5687872999988,144.5687872999988,300,1,[1.7652525999983482],[1.765256300001056],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,400,unexp,1,6,18,2,146.33486509999784,147.334745199998,147.334745199998,147.334745199998,space,0.6216951000023982,None,148.68417439999757,148.98407079999743,148.98407079999743,148.98407079999743,148.98407079999743,500,1,[3.314285699998436],[3.3142913000010594],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,1,7,19,5,152.29958279999846,153.29926429999978,153.29926429999978,153.29926429999978,space,1.8176190000012866,None,155.84845649999988,156.14833490000092,156.14833490000092,156.14833490000092,156.14833490000092,600,1,[2.148614000001544],[2.1486179000021366],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,1,8,20,11,158.29746629999863,159.29738209999778,159.29738209999778,159.29738209999778,space,0.807714999999007,None,160.83012959999905,161.1300474999989,161.1300474999989,161.1300474999989,161.1300474999989,550,1,[4.697133500001655],[4.697138700001233],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,1,9,21,3,165.82823789999748,166.8281070999983,166.8281070999983,166.8281070999983,space,0.9371940000019094,None,167.89441219999935,168.19432640000014,168.19432640000014,168.19432640000014,168.19432640000014,100,1,[2.8309024999980466],[2.83090810000067],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,1,10,22,10,171.02667909999946,172.02630990000034,172.02630990000034,172.02630990000034,space,1.4002863999994588,None,173.85892400000012,174.1587894999975,174.1587894999975,174.1587894999975,174.1587894999975,400,1,[3.1638085000013234],[3.163811500002339],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
